id,avis,clean_avis
com.tencent.ig,s'il vous plaît ajouter la haute définition HD sur pour les tecno spark 20c j'ai 256 go de mémoire rom et 12 go de mémoire RAM mais l'HD n'es pas disponible c'est pas cool et aussi les beug a certains moments on voit pas les bâtiments on flotte dans je ne sais quoi et on se fait tuer s'il vous plaît arranger ça.....,add hd high definition tecno spark c gb romo memory gb ram memory hd available cool beug certain time building float not know kill arrange
com.tencent.ig,les mouvements bizarres quand on a une mauvaise connexion pitié regler le problème,weird movement bad connection mercy solve problem
com.tencent.ig,BEAUCOUP TROP DE TRICHEUR SUR METRO ROYALE !,far cheater metro royale
com.tencent.ig,"Le jeux est super mais,quand on joue à +60FPS le jeux devient plus difficile",game great play fps game difficult
com.tencent.ig,mon jeu quitte 5 fois en une minute régler le problème ou Sinon je vais abandonner le jeu,game leave time minute solving problem abandon game
com.tencent.ig,"Pubg est un excellent jeu et qui est si je ne m'abuse le pilier du genre battle royal, mais malheureusement il ne se renouvelle pas le gameplay reste le même que depuis qu'on la connue, les mouvements des personnages sont lents, il n'y a pas de glissade, la map extrêmement grande et chiante à parcourir, long chargement pour entré dans le jeu, extrêmement gourmand en ressources et ça en devient un peu trop lassant pour moi je vais passer à autre chose",excellent game abuse pillar genus battle royal unfortunately renew gameplay remain know movement character slow slide extremely great annoying map travel long load enter game extremely gourmet resource thing
com.tencent.ig,je joue et j'aime ce jeu mais je mets 4 étoiles parce qu'il n'est pas parfait comme tout les jeux Sinon il est cool ce jeu 😁,play like game star perfect like game cool game
com.tencent.ig,très belle expérience merci PUBG,nice experience thank
com.tencent.ig,Très bon jeu dommage et décevant qu'il y a des gens qui se sentent obligé de devoir tricher pour ce sentir supérieur aux autres donc j'arrête là,good game damage disappointing people feel obliged cheat feel superior stop
com.tencent.ig,good game with rafik fouchane,good game rafik fouchane
com.tencent.ig,"Superbe jeux, très adictif, je joue de temps en temps avec toujours un grand plaisir,pour me détendre.",superb game adictive play time time great pleasure relax
com.tencent.ig,meilleur jeux Android,good android game
com.tencent.ig,Meilleurs jeux du monde je suis sur le jeu depuis 2018 je l'aime trop merci pubg ☆♡,good world game game love thank
com.tencent.ig,super jeux je m'amuse très bien même si au début cette un peut difficile a comprendre,great game fun begin difficult understand
com.tencent.ig,"cela fait des années que j'y joue mais toujours le même problème: le retour en jeu est agréable les top 1 sont ""faciles"" après quelques jours de jeu les joueurs adverses sont beaucoup trop fort et le top 1 deviens impossible. je vais désinstaller",ve play year problem return game pleasant easy day play oppose player far strong impossible uninstall
com.tencent.ig,ce jeu est tout simplement réussi (◍•ᴗ•◍)❤(◍•ᴗ•◍)❤(◍•ᴗ•◍)❤,game simply successful ᴗ ᴗ ᴗ
com.tencent.ig,ce jeu est nul comment pouvez-vous créé un jeu qui ne fonctionnera sur d'autre appareil c'est nul,game zero create game work aircraft zero
com.tencent.ig,ce n'est pas mal du tout ce jeux vraiment c'est le meilleur parmis les meilleurs,bad game well good
com.tencent.ig,كيف وجهك ياللي صممت والديه هابوب جي الفري فايرأحسن ب 30000ألف مرة,face design parent haboub ji fire fire good time
com.tencent.ig,Le meilleur jeu mobile,good mobile game
com.tencent.ig,لا تريد الاشتغال,not want work
com.tencent.ig,"Graphiquement nul ! J'ai arrêté de suite, pour les reste du jeu je vous laisse découvrir mais loin loin derrière Call of !",graphically zero stop immediately rest game let discover far
com.tencent.ig,la seule raison pour laquelle je ne veux pas donner 5 étoiles c'est parce que j'aimerais svp que vous intégrez la fonctionnalité de glisser à tous les modes et aussi ça serait cool de mettre des modes solo de storytelling,reason not want star like integrate functionality slide fashion cool solo mode storytelle storytelling
com.tencent.ig,روعة هايلة نعم.؟.................... ينيتتيتيتميمسكككشؤزؤوؤتترتؤ,splendor hayla yes
com.tencent.ig,"impossible to connect with facebook, nothing happens when i return to the game i have a revocked authorization message",impossible connect facebook happen return game revocke authorization message
com.tencent.ig,meilleur jeu mobile,good mobile game
com.tencent.ig,Meilleurs jeux vraiment fantastique,well fantastic game
com.tencent.ig,"pubgmobile c'est le meilleur jeu en ligne, j'y joue depuis 6ans maintenant trop d'évolution c'est vraiment le top des jeux grave ouais ✌️🫡",mobile good online game playing year evolution game yeah
com.tencent.ig,Little default but it's a cool game,little default cool game
com.tencent.ig,bonjour dès fois quand je joue j'ai beaucoup de bug sur pubg mais j'arrive comme même à jouer réglé ce bug svp,hello time play lot bug arrive like play bug
com.tencent.ig,super jeu sa fait 6 ans que je joue a se jeux et sa me plais toujours autant,great game year play game please
com.tencent.ig,la belle jeux de mond,beautiful world game
com.tencent.ig,نطالب بفك الباند We demand the lifting of the ban,band lifeting ban
com.tencent.ig,"est-ce que les serveurs fonctionnent encore ? est-ce qu'il y a encore des joueurs ? j'ai changé de serveur de Europe vers Moyen-Orient et c'est encore le même problème, un temps infini (>6 min) pour trouver une partie (quand il en trouve une ...)",server work player change server europe middle east problem infinite time min find game find
com.tencent.ig,أسوء لعبة في العالم من التالي,bad game world follow
com.tencent.ig,je n'ai pas encore lancé l'application mais je pense qu'il est très intéressant.,launch application think interesting
com.tencent.ig,depuis la mise à jour .. je l'appli crach dès que je suis sur le menu principal... je n'arrive plus à jouer.. je l'ai désinstallé et réinstaller c'est toujours le même problème,update apply spray soon main menu long play uninstalled reinstall problem
com.tencent.ig,لعبة وايت حلوى بس في شي جعل فرفاير احسن ولي هو تسجيل الدخول,white candy game farfire good login
com.tencent.ig,"Trois ans que je joue, j'adore !!! D'autres cartes svp, Troie et Lagna",year play love card troy lagna
com.tencent.ig,C'est le meilleur jeux que je n'ai jamais vu 🤩🔥🔥🔥,good game see
com.tencent.ig,teré bonne jeux,teré good game
com.tencent.ig,"très mal sécurisé on se demande où va l'argent, n'est ce pas monsieur le patron la vie est belle ?",poorly secure wonder money go not boss beautiful
com.tencent.ig,Sav pas terrible voir inexistant et trop de tricheurs de un de deux les mode DBZ les dinosaures franchement c'est du grand n'importe quoi c'est un jeux de stratégie de tire ou un mix de plusieurs jeux copie de call of duty et autres2 j'attends toujours mes objets payés que on m'a pas encore donner ainsi que remboursement de 3 royal passe prélevé sur mon compte mai pas obtenus dans le jeux moing 2 étoiles 3 mois j'attend après le sav qui bouge pas !!!,savable terrible nonexistent cheater dbz mode dinosaur frankly big draw strategy game mix game copy wait pay object give reimbursement royal pass pass account obtain star game
com.tencent.ig,C'est un jeux d'exemption si vous aimez les jeux d'arme,exemption game like weapon game
com.tencent.ig,très bon jeu mais ne pas approcher avantijjjh,good game approach avantijjjh
com.tencent.ig,j'aime beaucoup ce jeux mais sa prend trop de temps pour télécharger,like game take long download
com.tencent.ig,mais de cloo dans ce jeux ils devient belle aussi comme le free fire 🙏🙏,cloo game beautiful like free fire
com.tencent.ig,le jeu il est très bien il a de très beaux graphismes et ne bug pas le conseille fortement ce jeu à ceux qui sont fans de fortnite car ce jeu y fait beaucoup référence,game good beautiful graphic bug strongly advise game fan fortnite game make lot reference
com.tencent.ig,s'il vous plaît où est que que on met l'auto shoot ? et où est ce que on retrouve le camp d'entraînement,auto shoot training camp
com.tencent.ig,"Ce jeu est incroyable, j'adore trop 🤩🤩🤩",game incredible love
com.tencent.ig,c'est le meilleur je mobile de tous les temps mais il et trop adictif,good mobile time adictive
com.tencent.ig,Bravo pubg mobile Merci beaucoup ❤❤❤,bravo mobile thank
com.tencent.ig,Excellent jeu d'actions pour Tous,excellent action game
com.tencent.ig,c'est un bon jeux de tir .très bien .,good shooting game good
com.tencent.ig,افضل لعبت في التاريخ,well play history
com.tencent.ig,Jeux Incroyable Pour moi PUBG C'est les G.O.A.T,amazing game goat
com.tencent.ig,Meilleurs jeux de guerre sur ondroide je joue sur mon téléphone samsang s9 et ma tablette A smt510,good war game ondroid play samsang phone tablet smt
com.tencent.ig,"Bon jeu,image,graphisme,plusieurs touches possibles,juste une chose,cela fait 3 ans que je joue à PUBG Mobile et j’aimerais avoir la m416 glace,merci merci merci",good game image graphic possible touch thing year play mobile like ice cream thank thank
com.tencent.ig,toujours bourré de hackers qui ont tous 13 ou 15 et même 20 de ratio et a chaque fois je les signale mais pubg reconnais toujours les hackers innocent car se sont des corrompu et il vont dire qu'il faut les signaler mais c'est se que moi et des millions de joueurs faisons déjà mais vous les reconnaissez innocent et il suffit de regarder sur YouTube ils le montre a tous. et le jeu fait surchauffer les téléphones et fait une taille de 30 giga c'est n'importe quoi. et séparé les mobile des tablette,hacker ratio time signal recognize innocent hacker corrupt necessary report million player recognize innocent look youtube game overheat phone size giga separate mobile tablet
com.tencent.ig,meilleur jeux c très cool j’adore,well cool c games love
com.tencent.ig,cet jeux est efficace j'aimerais jouer toujours,game efficient like play
com.tencent.ig,le jeu est excellent et très très cool,game excellent cool
com.tencent.ig,J'aimerais savoir quand est-ce que la version HD serait disponible sur les appareils Redmi note 13 s'il vous plait.,like know hd version available redmi note device
com.tencent.ig,"épique, avec une bonne dose d'adrenaline.... juste un peu dommage qu'on rencotre des difficulté dans l'achat d'UC et qu'on doive passer par des tiers pour s'en proccurer, franchement vous devez elaborer un tuto pour nous apprendre comment acheter des UC",epic good dose adrenaline bit shame difficulty buy uc party frankly develop tutorial teach buy uc
com.tencent.ig,عندي اكثر من 5 سنوات لعبة لا تكريم ولا هداية عمري لا شفت لعبة بخيلة وبتحب النقود مثل بوبجي عار عليكم,year game honor guide life stingy game love money like bobji shame
com.tencent.ig,j'arrive pas à télécharger les données supplémentaires alors que j'ai encore plus 4 gigas d'espaces.,not download additional datum gigas space
com.tencent.ig,"je suis un FAN, je joue depuis 2 ans et sa continue de me fasciné. je vous le conseille vivement.",fan playing year continue fascinate highly recommend
com.tencent.ig,très bon jeu de tir 🏹,good shooting game
com.tencent.ig,game play beaucoup trop lent pourtant la mémoire de mon téléphone est assez grande et j'ai une bonne mémoire RAM,game play far slow memory phone large good ram memory
com.tencent.ig,"Bonjour chers développeurs de Pubg mobile. Je vous envoie ce message car votre jeu devient sans dessus dessous. Il y a trop de modes de jeux, on affronte presque des ordinateurs et l'appli pèse lourd et consomme beaucoup. Ce que je propose, c'est que vous fassiez 2 applis distincts : une POUR le BR et l'autre POUR les autres modes de jeux. Ce serait mieux comme ça, non ?",hello dear mobile advertising developer send message game game mode face computer app weigh heavy consume lot suggest separate app br game mode well like right
com.tencent.ig,احسن لعبة في العالم,good game world
com.tencent.ig,se tro tro tro magnifique et bien et je mais le film d’action PUBG MOBOLE se cool cool ok télécharge cet application,tro tro tro beautiful action film mobole cool cool ok download application
com.tencent.ig,super mais le jeux devient trop exigeant en terme de ressources 😭,great game demand term resource
com.tencent.ig,Le jeu est incroyable télécharger le 👍🏾,game incredible download
com.tencent.ig,"jeux nulle, privilège pour ceux qui utilisent l'argent réal, pas de récompenses UC, trop de lague, défragmentation des cartes dans le mode, rien n'a changé depuis 2018,",null game privilege use real money uc reward lague defragmentation card mode change
com.tencent.ig,لعبة جيدة بالنسبة للكبار نتعرف من خلالها على أصدقاء من مختلف الأقطار,good game adult know friend different country
com.tencent.ig,"c'est un bon jeux mais c'est rare de rencontrer des ennemies à tuer vous dites un milliards de personnes jouent à ce jeu mais j'ai dû mal à rencontrer des enemies,faut arrêter de mentir !",good game rare meet enemy kill billion people play game meet enemia stop lie
com.tencent.ig,Je ne gagné rien au tentage des caisse Je la m416 froid mordant,win registration cash register bite
com.tencent.ig,trust bon jeux 💯💢💥,trust good game
com.tencent.ig,trop de cheaters dans le jeu. ça saoule grave.,cheater game drunk seriously
com.tencent.ig,se jeux en le meilleure du monde,games good world
com.tencent.ig,meilleurs jeux que je connais venez jouer à pubg,good game know come play
com.tencent.ig,chapeau à celui qui innove sans cesse le monde fantastique dans lesquelles on joue,hat constantly innovate fantastic world play
com.tencent.ig,très bon jeux gratuit cool je vous le recomande,good free game cool recomme
com.tencent.ig,بوبجي مرحبا مليون دولار,bobji hello million dollar
com.tencent.ig,Ça fait 5 ans que j'y joue et je ne suis toujours pas déçu. Il a de nombreux événements et modes de jeu. De quoi s'amuser pendant des heures.,ve play year m disappoint event game mode fun hour
com.tencent.ig,quand j'entre dans le jeu ça me fait sortir automatiquement,enter game make automatically
com.tencent.ig,la nouvelle mise à jour bloque nos téléphones,new update block phone
com.tencent.ig,ببجي لعبة رهيبة فري فاير افضل منها,bajji terrible fire fire game well
com.tencent.ig,pas mal mes il faut ameliore les point,bad necessary improve point
com.tencent.ig,c'est le plus grand plaisir du moment,great pleasure moment
com.tencent.ig,très bien 👍😊 c'était vraiment très bien je veux voir aimer cette application vraiment je conseille ça a plusieurs personnes on oui je conseille cette application a plusieurs personnes privées n'est pas juste un jeu de guerre comme tous les autres Balthazar mon frère qui a dit que c'est bébé c'était pour les nuls,good want application like recommend people yes recommend application private people war game like balthazar brother say baby dummy
com.tencent.ig,"Le prix ,uc, est élevé. C'est juste un jeu",price uc high game
com.tencent.ig,Il est bien mes il veut pas me faire rentré,s good not want
com.tencent.ig,je viens de télécharger le jeux mes même pour s'installer ya déjà les complications s'il vous plaît renvoyer ça 🤦🏿!,download game settle complication return
com.tencent.ig,Encore une fois ce jeu donne la priorité aux joueurs qui dépensent plus d'argent au jeu en comparant aux ceux qui jouent gratuitement malheureusement ! Conclusion : Jeu déconseillé,game give priority player spend money game compare play free conclusion display game
com.tencent.ig,C'est trop cool qu'il continu à faire des jeu fantastiques,cool continue fantastic game
com.tencent.ig,Le jeu est bien mais pas assez fluide,game good fluid
com.tencent.ig,téléchargements fait inscription faite et paf un message de problème je refuse que mes données personnelles soient utilisées vu que le jeu est inaccessible,download paf problem message refuse personal datum game inaccessible
com.tencent.ig,le jeux est incroyable les images sont des très très bonne qualité merci a PUBG MOBILE pour ces merveilles vraiment...?,game amazing image good quality thank mobile wonder
com.tencent.ig,meilleurs game play,good game play
com.tencent.ig,أستغفر الله العظيم هذي لعب ول خر تحي فري فاير ملخر,ask forgiveness god almighty play live fire fire
com.tencent.ig,"très bon jeux,mais il faudrait donc mètre beaucoup plus de réalisme dans se jeux",good game lot realism game
com.tencent.ig,je classe ce jeu meilleur que call of duty,classify game well
com.tencent.ig,ky joue depuis 7ans et je ne mis suis jamais lassée du jeux tout et complet et incroyable,ky play year tired complete incredible game
com.tencent.ig,ce jeu es trop cool j'adore trop,game cool love
com.tencent.ig,bon expérience de jeux bien la graphisme très immersive,good game experience immersive graphic
com.tencent.ig,"rien à dire, c'est le meilleur jeu mobile de guerre",good war mobile game
com.tencent.ig,c'est un très bon jeu tout est au top je recommande vraiment ce jeu aux personnes fan d'aventure de guerre et tout ce qui va avec.,good game recommend game people fan war adventure go
com.tencent.ig,j'ai un très bon début d'expérience avec ce jeux . vraiment bravo 😆😆😁😁😁😁😁😁😆😆😆,good start experience game bravo
com.tencent.ig,Très bien votre travail est excellent j'aime bien Mais la consommation de méga et élevé moi je joue avec mon donné mobile donc il faut le régler même si c'est peut,work excellent like consumption mega high play mobile datum adjust
com.tencent.ig,لعبة جميلة جدا والله اني احب هذه لعبة,beautiful game god love game
com.tencent.ig,افضل لعبة على ممر التاريخ,good game history corridor
com.tencent.ig,احسن لعبة فالعالم,good game world
com.tencent.ig,"jai un Xiaomi note 14 pro plus 5g, lancez une mise a jour 120FPS",xiaomi note pro plus g launch fps update
com.tencent.ig,"Bonjour, jeux excellents . Bien qu'il ait de l'âge se jeux propose une expérience inégalée a ses concurrents. le lancement de partie es tout fois un peu lent en classé. je crois pour embellir l'expérience qu'il ne manque qu'un changement de temps ( pluie , vent , orages etc ) pour se qui es d'une vue simulation de combats, les mouvements du personnage son très réaliste et les reproductions des armes est très bonne. l'audio es fantastique mais pourrai je crois avoir son petit rafraîchissement",hello excellent game age game offer unrivaled experience competitor launch little slow classified believe embellish experience miss change time rain wind thunderstorm etc view combat simulation movement character realistic reproduction weapon good audio fantastic think little refreshment
com.tencent.ig,je n'arrive pas à faire le mise à jour du jeu,not game update
com.tencent.ig,Ce jeu est le définition du mot magnifiques et Cool !!! ✨✨✨🤯🤯🤯🤩🤩🤩🤩,game definition magnificent cool word
com.tencent.ig,très bon jeux pour ceux divertir et affronter d'autres personnes dans monde,good game entertain face people world
com.tencent.ig,il faut diminuer un peu le co n,co n reduce bit
com.tencent.ig,PUBG MOBILE est jeux N°1 depuis 2022 et vraiment je m'en lasse pas. Le jeux est au top,mobile games n tired game
com.tencent.ig,j'aime bien mais s'il y a un problème de connexion. là c'est un gros problème,like connection problem big problem
com.tencent.ig,meilleures jeu du monde,good game world
com.tencent.ig,ياريت الناس تشارك معنا الموضوع: اقتراح لمنح اللاعبين فرصة ثانية بعد الحظر مرحبًا فريق ببجي موبايل، أنا من محبي لعبتكم وأتابع كل التحديثات التي تقدمونها. أود أن أقدم اقتراحًا قد يكون له تأثير إيجابي على اللعبة والمجتمع. لاحظت أن هناك عددًا كبيرًا من اللاعبين الذين تم حظر حساباتهم بسبب أخطاء أو بسبب استخدام بعض الأدوات غير القانونية في الماضي. كثير من هؤلاء اللاعبين قد تعلموا من أخطائهم ويريدون فرصة جديدة للعودة إلى اللعبة بطريقة عادلة. أقترح أن تقوموا بفتح فرصة ثانية للحسابات المحظورة، ولكن ب,wish people share topic proposal player second chance ban welcome bajj mobile team fan game follow update offer like proposal positive impact game society notice large number player account ban error use illegal tool past player learn mistake want new opportunity return game fair way suggest open second opportunity ban account b
com.tencent.ig,fabuleux un trésor ces jeux,fabulous treasure game
com.tencent.ig,"excellent le jeu, juste quelques bugs,",excellent game bug
com.tencent.ig,يا أخي لعب زي زفت من يلعبها له عقدة نفسية اتعلمي من عند فري فاير عمتك وعمة الكل أولا حملاتها باقة عامين عشان تدخل اللولي والله يهديكم يدكم فيه,brother play like sword play psychological knot learn fire fire aunt aunt campaign year
com.tencent.ig,The whole game is artificial intelligence bots 😡😡,game artificial intelligence bot
com.tencent.ig,excellent je dors déçu je me réveille déçu werrrrr seigneur c'est mow,excellent sleep disappoint wake disappoint werrrr lord mow
com.tencent.ig,رائعة جدا جربوها تحتوي علي جرافيكس رائعة وخريطة كبيرة لجم,cool try contain graphic great graphic
com.tencent.ig,افضل لعب في التاريخ,well play history
com.tencent.ig,"C'est le meilleur Battleroyal meilleur que Call of Dutty, le problème il ne reconnaît pas les manettes xbox comme CODM 💔 veillez y remédier..",well well well dutty problem recognize xbox controller sure remedy
com.tencent.ig,انصحكم بهذا اللعبة رهيبة مرة,advise game terrible
com.tencent.ig,Très bon jeu sa disponibilité sur Android est extraordinaire malgré que le système un peu trop pay to win gâche l'expérience de jeu,good game availability android extraordinary despite system little pay win gaming experience
com.tencent.ig,très bon game play et surtout ce n'est pas un jeu play tout Win🤑,good game play game play win
com.tencent.ig,"Hello, PUBG Mobile is a very beautiful game.",hello mobile beautiful game
com.tencent.ig,PUBG offre une expérience intense et stratégique ⚔️🔥 avec un gameplay réaliste et une tension palpitante à chaque partie 🎯🏆!,offer intense strategic experience realistic gameplay thrilling voltage
com.tencent.ig,je ne joue plus 2h mais 12h 🤣,long play h h
com.tencent.ig,Best battel royal game aver,good battel royal game aver
com.tencent.ig,"Jeu hyper bien avec des qualités hyper haute, Recommandé",super good game hyper high quality recommend
com.tencent.ig,ce jeu est bien car avec ça quand on a pas Fortnite sur tel et bien on peut jouer à ça et pour la qualité il faudrait le rendre encore plus réaliste,game good strong play quality necessary realistic
